ecli,references
ECLI:CE:ECHR:2010:1012JUD004228405,['ECLI:CE:ECHR:2010:1012JUD004228405']
ECLI:CE:ECHR:2010:1102JUD004172306,[]
ECLI:CE:ECHR:2010:1207JUD001596606,[]
ECLI:CE:ECHR:2010:1221JUD002757003,[]
ECLI:CE:ECHR:2010:1221JUD003469005,[]
ECLI:CE:ECHR:2011:0118JUD003940104,[]
ECLI:CE:ECHR:2011:0125JUD003334704,[]
ECLI:CE:ECHR:2011:0315JUD000203407,['ECLI:CE:ECHR:2012:0110JUD003470207']
ECLI:CE:ECHR:2011:0331JUD000642807,[]
ECLI:CE:ECHR:2011:0419JUD000331604,"['ECLI:CE:ECHR:2010:1012JUD000018406', 'ECLI:CE:ECHR:2011:0419JUD002238503']"
ECLI:CE:ECHR:2011:0419JUD002238503,['ECLI:CE:ECHR:2010:1012JUD000018406']
ECLI:CE:ECHR:2011:0531JUD000369908,[]
ECLI:CE:ECHR:2011:0531JUD000599506,['ECLI:CE:ECHR:2010:1012JUD000018406']
ECLI:CE:ECHR:2011:0621JUD003510504,[]
ECLI:CE:ECHR:2011:0705JUD001899005,['ECLI:CE:ECHR:2012:0110JUD003470207']
ECLI:CE:ECHR:2011:0721JUD002827408,[]
ECLI:CE:ECHR:2011:0912JUD002895506,['ECLI:CE:ECHR:2011:0118JUD003940104']
ECLI:CE:ECHR:2011:1122JUD001732010,"['ECLI:CE:ECHR:2011:0614JUD002804008', 'ECLI:CE:ECHR:2011:0419JUD000331604']"
ECLI:CE:ECHR:2011:1122JUD004115809,"['ECLI:CE:ECHR:2011:0419JUD000331604', 'ECLI:CE:ECHR:2011:0419JUD002238503']"
ECLI:CE:ECHR:2012:0110JUD003470207,[]
ECLI:CE:ECHR:2012:0117JUD000340107,['ECLI:CE:ECHR:2012:0110JUD003470207']
ECLI:CE:ECHR:2012:0117JUD003349707,['ECLI:CE:ECHR:2012:0110JUD003470207']
ECLI:CE:ECHR:2012:0124DEC003284410,['ECLI:CE:ECHR:2011:0118JUD003940104']
ECLI:CE:ECHR:2012:0202JUD002024008,[]
ECLI:CE:ECHR:2012:0207JUD003995408,"['ECLI:CE:ECHR:2010:1012JUD000018406', 'ECLI:CE:ECHR:2011:0912JUD002895506', 'ECLI:CE:ECHR:2011:0118JUD003940104', 'ECLI:CE:ECHR:2012:0110JUD003470207']"
ECLI:CE:ECHR:2012:0221JUD003213108,[]
ECLI:CE:ECHR:2012:0403JUD004320607,"['ECLI:CE:ECHR:2011:0705JUD001899005', 'ECLI:CE:ECHR:2012:0110JUD003470207']"
ECLI:CE:ECHR:2012:0607JUD003843309,['ECLI:CE:ECHR:2011:0329JUD005008406']
ECLI:CE:ECHR:2012:0619JUD000159306,"['ECLI:CE:ECHR:2011:0118JUD003940104', 'ECLI:CE:ECHR:2012:0110JUD003470207']"
ECLI:CE:ECHR:2012:0619JUD000349003,"['ECLI:CE:ECHR:2011:0912JUD002895506', 'ECLI:CE:ECHR:2011:0118JUD003940104']"
ECLI:CE:ECHR:2012:0619JUD002730607,"['ECLI:CE:ECHR:2011:0118JUD003940104', 'ECLI:CE:ECHR:2012:0110JUD003470207']"
ECLI:CE:ECHR:2012:0621JUD003412406,['ECLI:CE:ECHR:2012:0207JUD003995408']
ECLI:CE:ECHR:2012:0710JUD004338010,"['ECLI:CE:ECHR:2011:0705JUD001899005', 'ECLI:CE:ECHR:2012:0110JUD003470207']"
ECLI:CE:ECHR:2012:0710JUD004644309,"['ECLI:CE:ECHR:2011:0705JUD001899005', 'ECLI:CE:ECHR:2011:0118JUD003940104', 'ECLI:CE:ECHR:2012:0110JUD003470207']"
ECLI:CE:ECHR:2012:0713JUD001635406,['ECLI:CE:ECHR:2012:0207JUD003995408']
ECLI:CE:ECHR:2012:0724JUD004072108,[]
ECLI:CE:ECHR:2012:0918JUD000308407,"['ECLI:CE:ECHR:2011:1122JUD004115809', 'ECLI:CE:ECHR:2011:0419JUD002238503']"
ECLI:CE:ECHR:2012:0925JUD002064105,[]
ECLI:CE:ECHR:2012:1002JUD000259407,[]
ECLI:CE:ECHR:2012:1002JUD000512605,"['ECLI:CE:ECHR:2011:0419JUD000331604', 'ECLI:CE:ECHR:2012:0207JUD003995408', 'ECLI:CE:ECHR:2011:0419JUD002238503', 'ECLI:CE:ECHR:2011:0614JUD002804008']"
ECLI:CE:ECHR:2012:1009JUD002972311,"['ECLI:CE:ECHR:2011:0912JUD002895506', 'ECLI:CE:ECHR:2011:0118JUD003940104', 'ECLI:CE:ECHR:2011:0719JUD002395410']"
