Correlation,Centrality,Ground Truth
0.43942856805011005,degree_centrality,importance
0.2356678620518394,degree_centrality,doctypebranch
0.36953748060636493,in_degree_centrality,importance
0.2675265419200173,in_degree_centrality,doctypebranch
0.2562496702825301,out_degree_centrality,importance
0.014635527428705407,out_degree_centrality,doctypebranch
0.11817969325491977,betweenness_centrality,importance
0.0,betweenness_centrality,doctypebranch
0.3695101692705088,closeness_centrality,importance
0.26749307665870853,closeness_centrality,doctypebranch
0.4383483934326728,core_number,importance
0.23593454742680964,core_number,doctypebranch
0.36953748060636493,relative_in_degree_centrality,importance
0.2675265419200173,relative_in_degree_centrality,doctypebranch
0.3690445343374046,eigenvector_centrality,importance
0.26695065253578837,eigenvector_centrality,doctypebranch
0.3690704069064019,pagerank,importance
0.2680300442882544,pagerank,doctypebranch
0.15466354430136348,hits_hub,importance
-0.014044626160723805,hits_hub,doctypebranch
0.03765432065284158,hits_authority,importance
0.058028742409308894,hits_authority,doctypebranch
0.3695076011803259,harmonic_centrality,importance
0.2674703443211058,harmonic_centrality,doctypebranch
,disruption,importance
,disruption,doctypebranch
0.3702016265024993,composite,importance
0.26919642757018586,composite,doctypebranch
