Correlation,Centrality,Ground Truth
0.24886929669014415,degree_centrality,importance
0.4132341189660675,degree_centrality,doctypebranch
0.3986425837222581,in_degree_centrality,importance
0.4094596753639014,in_degree_centrality,doctypebranch
-0.015898828002820997,out_degree_centrality,importance
0.23785022439666698,out_degree_centrality,doctypebranch
0.26385507949583,betweenness_centrality,importance
0.3125748537527608,betweenness_centrality,doctypebranch
0.38369058604609657,closeness_centrality,importance
0.37834417084573657,closeness_centrality,doctypebranch
0.22012456522195362,core_number,importance
0.38315956587616107,core_number,doctypebranch
0.3986425837222581,relative_in_degree_centrality,importance
0.4094596753639014,relative_in_degree_centrality,doctypebranch
0.37460278434284594,eigenvector_centrality,importance
0.35638352683002444,eigenvector_centrality,doctypebranch
0.40420973877957683,pagerank,importance
0.4050876386974159,pagerank,doctypebranch
0.015354729024779093,hits_hub,importance
0.21905077723749128,hits_hub,doctypebranch
0.3546321933121809,hits_authority,importance
0.3586184366673078,hits_authority,doctypebranch
0.38381175511226934,harmonic_centrality,importance
0.37961702493626065,harmonic_centrality,doctypebranch
0.1781833295946842,disruption,importance
0.2072082376196985,disruption,doctypebranch
0.40469119671790615,composite_ranking_importance_weight_composite_ranking,importance
0.4083213308938753,composite_ranking_importance_weight_composite_ranking,doctypebranch
0.41813530009618993,composite_ranking_importance_threshold_composite_ranking,importance
0.38989337002086066,composite_ranking_importance_threshold_composite_ranking,doctypebranch
0.32389983204489375,composite_ranking_doctypebranch_weight_composite_ranking,importance
0.4301989638385538,composite_ranking_doctypebranch_weight_composite_ranking,doctypebranch
0.24886928983514667,composite_ranking_doctypebranch_threshold_composite_ranking,importance
0.4132119590927748,composite_ranking_doctypebranch_threshold_composite_ranking,doctypebranch
