Correlation,Centrality,Ground Truth
0.19354000514674258,degree_centrality,importance
0.05427714292023087,degree_centrality,doctypebranch
0.11979364559369135,in_degree_centrality,importance
0.10608482993453476,in_degree_centrality,doctypebranch
0.15019978627564656,out_degree_centrality,importance
-0.04431301101027199,out_degree_centrality,doctypebranch
,betweenness_centrality,importance
,betweenness_centrality,doctypebranch
0.11979364559369135,closeness_centrality,importance
0.10608482993453476,closeness_centrality,doctypebranch
0.19136886937666692,core_number,importance
0.05848976518656018,core_number,doctypebranch
0.11979364559369135,relative_in_degree_centrality,importance
0.10608482993453476,relative_in_degree_centrality,doctypebranch
0.11979364559369135,eigenvector_centrality,importance
0.10608482993453476,eigenvector_centrality,doctypebranch
0.11331294225028732,pagerank,importance
0.10065790702245736,pagerank,doctypebranch
0.1510858461611246,hits_hub,importance
-0.04283206287015438,hits_hub,doctypebranch
0.11849722731607701,hits_authority,importance
-0.04534581638274298,hits_authority,doctypebranch
0.11979364559369135,harmonic_centrality,importance
0.10608482993453476,harmonic_centrality,doctypebranch
0.11979364559369135,disruption,importance
0.10608482993453476,disruption,doctypebranch
0.11979364559369135,composite,importance
0.10608482993453476,composite,doctypebranch
